accuracy,precision,recall,f1-score,FN,FP,TN,TP
0.712480252765,0.712230651466,0.712480252765,0.712005478639,249,84,98,202
0.714060031596,0.714500412135,0.714060031596,0.712764513035,257,76,105,195
0.701421800948,0.701473115463,0.701421800948,0.701445707225,238,95,94,206
0.718799368088,0.722468862738,0.718799368088,0.715640484955,270,63,115,185
0.6887835703,0.688445164309,0.6887835703,0.688405820786,240,93,104,196
0.711610486891,0.714179403075,0.711610486891,0.705212456815,123,25,52,67
0.722846441948,0.726729263246,0.722846441948,0.716345309104,125,23,51,68
0.558052434457,0.754104362029,0.558052434457,0.403744413686,148,0,118,1
0.561797752809,0.755268178927,0.561797752809,0.412009451396,148,0,117,2
0.696629213483,0.69534667614,0.696629213483,0.693742175877,115,33,48,71
0.70871559633,0.718654018748,0.70871559633,0.703520553542,187,38,89,122
0.68119266055,0.681226827679,0.68119266055,0.680601737231,162,63,76,135
0.715596330275,0.727494472227,0.715596330275,0.709965667559,190,35,89,122
0.713302752294,0.719412434216,0.713302752294,0.709846832918,183,42,83,128
0.72247706422,0.735438300232,0.72247706422,0.716794383986,192,33,88,123
0.898305084746,0.89892368976,0.898305084746,0.898241923108,137,12,18,128
0.891525423729,0.892621885106,0.891525423729,0.891415581113,137,12,20,126
0.891525423729,0.892621885106,0.891525423729,0.891415581113,137,12,20,126
0.901694915254,0.902123444532,0.901694915254,0.901649697244,137,12,17,129
0.901694915254,0.902123444532,0.901694915254,0.901649697244,137,12,17,129
0.76338028169,0.78624530775,0.76338028169,0.758690914659,160,17,67,111
0.732394366197,0.743102213733,0.732394366197,0.72953656485,148,29,66,112
0.757746478873,0.767688331145,0.757746478873,0.75557089737,151,26,60,118
0.760563380282,0.788415522572,0.760563380282,0.754786980826,162,15,70,108
0.749295774648,0.766584428334,0.749295774648,0.745295465465,155,22,67,111
0.484716157205,0.50120697605,0.484716157205,0.474224694022,87,162,74,135
0.484716157205,0.527286892142,0.484716157205,0.427416210181,47,202,34,175
0.528384279476,0.518642718986,0.528384279476,0.514991674782,170,79,137,72
0.543668122271,0.295575027173,0.543668122271,0.382951520355,249,0,209,0
0.495633187773,0.503445498824,0.495633187773,0.495534604899,113,136,95,114
0.570666666667,0.570843383585,0.570666666667,0.570263252682,565,375,430,505
0.559466666667,0.559489996393,0.559466666667,0.559335048183,542,398,428,507
0.5616,0.561652993399,0.5616,0.561562587472,519,421,401,534
0.539733333333,0.540840877615,0.539733333333,0.537209527777,438,502,361,574
0.571733333333,0.571844073081,0.571733333333,0.571459047619,561,379,424,511
0.51106639839,0.750363206429,0.51106639839,0.346808754164,507,0,486,1
0.53722334004,0.544599589273,0.53722334004,0.526810062847,198,309,151,336
0.508048289738,0.51513352253,0.508048289738,0.485892953173,154,353,136,351
0.512072434608,0.524621853931,0.512072434608,0.475600914821,128,379,106,381
0.448692152918,0.44873597209,0.448692152918,0.448712246915,232,275,273,214
0.529850746269,0.550080177624,0.529850746269,0.437470542027,15,115,11,127
0.492537313433,0.509925215027,0.492537313433,0.407813392056,115,15,121,17
0.597014925373,0.663095405721,0.597014925373,0.56015905281,117,13,95,43
0.55223880597,0.551362350336,0.55223880597,0.549293505487,61,69,51,87
0.578358208955,0.583561637999,0.578358208955,0.575853172802,86,44,69,69
0.601302931596,0.602645885446,0.601302931596,0.598966049267,525,252,360,398
0.585016286645,0.585271464658,0.585016286645,0.583886983082,494,283,354,404
0.581758957655,0.581695789492,0.581758957655,0.581407046528,474,303,339,419
0.59674267101,0.596958892348,0.59674267101,0.595905206192,498,279,340,418
0.588273615635,0.589674614414,0.588273615635,0.585334857307,521,256,376,382
0.717647058824,0.770227537765,0.717647058824,0.704844290657,156,11,85,88
0.670588235294,0.703009954533,0.670588235294,0.658941176471,144,23,89,84
