accuracy,precision,recall,f1-score,FN,FP,TN,TP
0.707109005,0.707823641,0.707109005,0.706052401,250.8,82.2,103.2,196.8
0.650187266,0.729125577,0.650187266,0.586210761,131.8,16.2,77.2,41.8
0.708256881,0.716445211,0.708256881,0.704145835,182.8,42.2,85,126
0.896949153,0.89768287,0.896949153,0.896874496,137,12,18.4,127.6
0.752676056,0.770407161,0.752676056,0.748776165,155.2,21.8,66,112
0.507423581,0.469231423,0.507423581,0.459023741,133.2,115.8,109.8,99.2
0.56064,0.560934265,0.56064,0.559965893,525,415,408.8,526.2
0.503420523,0.556690829,0.503420523,0.456764986,243.8,263.2,230.4,256.6
0.55,0.571604957,0.55,0.506117933,78.8,51.2,69.4,68.6
0.590618893,0.591249329,0.590618893,0.589100028,502.4,274.6,353.8,404.2
0.71,0.742123686,0.71,0.701565538,146.4,20.6,78,95
0.544528302,0.552436581,0.544528302,0.536850616,152.8,135.2,106.2,135.8
0.648,0.652064247,0.648,0.648100007,174.6,97.4,78.6,149.4
0.536336925,0.543790379,0.536336925,0.522775258,282.2,227.8,245.6,265.4
0.533820841,0.532150227,0.533820841,0.512812335,170.4,126.6,128.4,121.6
0.511498258,0.516712195,0.511498258,0.473682479,396.2,332.8,368.2,337.8
0.53962536,0.539875006,0.53962536,0.539109149,387.4,321.6,317.4,361.6
0.753043478,0.765078819,0.753043478,0.750110751,98,17,39.8,75.2
0.657021277,0.659159003,0.657021277,0.655770084,72.6,44.4,36.2,81.8
0.656502242,0.657642375,0.656502242,0.655078771,162.6,68.4,84.8,130.2
0.622801303,0.628794233,0.622801303,0.619563711,103.4,50.6,65.2,87.8
0.564966741,0.567384559,0.564966741,0.549738638,155,83,113.2,99.8
0.706915888,0.708872993,0.706915888,0.705441113,219.2,72.8,84,159
0.810909091,0.818889792,0.810909091,0.809711164,147.2,18.8,43.6,120.4
0.943870968,0.944825989,0.943870968,0.943851618,144,12,5.4,148.6
0.646684881,0.656039814,0.646684881,0.633487739,206.112,116.928,132.664,173.136
