accuracy,precision,recall,f1-score,FN,FP,TN,TP
0.705845182,0.706540197,0.705845182,0.70462808,252.2,80.8,105.4,194.6
0.713108614,0.717292079,0.713108614,0.705842888,124.2,23.8,52.8,66.2
0.713761468,0.72112197,0.713761468,0.710275033,182.2,42.8,82,129
0.89559322,0.896441413,0.89559322,0.895506878,137,12,18.8,127.2
0.638873239,0.643219153,0.638873239,0.63627854,125.4,51.6,76.6,101.4
0.515283843,0.519387355,0.515283843,0.470165024,145,104,118,91
0.56736,0.567681538,0.56736,0.566757099,555.6,384.4,426.8,508.2
0.510060362,0.514789817,0.510060362,0.489252809,201.2,305.8,181.2,305.8
0.708208955,0.712255415,0.708208955,0.707623928,98.2,31.8,46.4,91.6
0.594006515,0.595582874,0.594006515,0.591724812,500.4,276.6,346.6,411.4
0.701764706,0.731510512,0.701764706,0.693295344,144.6,22.4,79,94
0.542264151,0.554610985,0.542264151,0.527534088,153.2,134.8,107.8,134.2
0.6568,0.66315142,0.6568,0.655360273,177.4,94.6,77,151
0.536532811,0.537407427,0.536532811,0.515887567,273.2,236.8,236.4,274.6
0.536745887,0.547648274,0.536745887,0.501983959,174.8,122.2,131.2,118.8
0.51358885,0.514351756,0.51358885,0.511328536,360.2,368.8,329.2,376.8
0.540057637,0.540244954,0.540057637,0.539607581,388,321,317.4,361.6
0.742608696,0.754907098,0.742608696,0.739537757,95.6,19.4,39.8,75.2
0.65787234,0.659905472,0.65787234,0.656628967,71,46,34.4,83.6
0.660089686,0.662447161,0.660089686,0.658232333,164,67,84.6,130.4
0.629315961,0.631297045,0.629315961,0.62806339,102.8,51.2,62.6,90.4
0.577383592,0.577053524,0.577383592,0.56951261,164.8,73.2,117.4,95.6
0.694953271,0.695920775,0.694953271,0.69358402,215.8,76.2,87,156
0.775151515,0.78581418,0.775151515,0.772909287,144.6,21.4,52.8,111.2
0.923870968,0.924550606,0.923870968,0.923850495,141.8,14.2,9.4,144.6
0.650044059,0.65500532,0.650044059,0.642614852,203.728,119.312,128.824,176.976
