accuracy,precision,recall,f1-score,FN,FP,TN,TP
0.72195892575,0.724991722006,0.72195892575,0.719216101854,269,64,112,188
0.669826224329,0.674936500735,0.669826224329,0.669555904208,208,125,84,216
0.717219589258,0.716978443183,0.717219589258,0.716795318959,250,83,96,204
0.703001579779,0.702713004516,0.703001579779,0.702681377892,244,89,99,201
0.701421800948,0.701119644503,0.701421800948,0.700973828398,245,88,101,199
0.561797752809,0.553927575099,0.561797752809,0.46947535065,137,11,106,13
0.558052434457,0.754104362029,0.558052434457,0.403744413686,148,0,118,1
0.554307116105,0.530560658492,0.554307116105,0.408308378991,146,2,117,2
0.561797752809,0.755268178927,0.561797752809,0.412009451396,148,0,117,2
0.565543071161,0.563389977404,0.565543071161,0.476098786773,137,11,105,14
0.483944954128,0.485884938838,0.483944954128,0.482762656964,98,127,98,113
0.438073394495,0.432013862013,0.438073394495,0.41102178524,52,173,72,139
0.529816513761,0.52871143687,0.529816513761,0.528256756473,132,93,112,99
0.561926605505,0.563160565956,0.561926605505,0.550387654245,161,64,127,84
0.536697247706,0.535217326307,0.536697247706,0.532670930868,141,84,118,93
0.898305084746,0.89892368976,0.898305084746,0.898241923108,137,12,18,128
0.884745762712,0.886445067314,0.884745762712,0.884573258212,137,12,22,124
0.88813559322,0.889518241911,0.88813559322,0.887996536857,137,12,21,125
0.898305084746,0.89892368976,0.898305084746,0.898241923108,137,12,18,128
0.901694915254,0.902123444532,0.901694915254,0.901649697244,137,12,17,129
0.501408450704,0.501340664307,0.501408450704,0.501052101771,84,93,84,94
0.532394366197,0.532386845865,0.532394366197,0.532238467958,91,86,80,98
0.529577464789,0.529563511762,0.529577464789,0.529532665842,92,85,82,96
0.583098591549,0.587816943738,0.583098591549,0.577874934501,123,54,94,84
0.532394366197,0.532394366197,0.532394366197,0.532394366197,94,83,83,95
0.478165938865,0.496286591564,0.478165938865,0.462562304426,79,170,69,140
0.480349344978,0.506152907054,0.480349344978,0.448999928413,64,185,53,156
0.526200873362,0.512854859306,0.526200873362,0.504431365103,179,70,147,62
0.541484716157,0.526803565628,0.541484716157,0.498217955304,201,48,162,47
0.475982532751,0.491032482962,0.475982532751,0.465999228792,86,163,77,132
0.570666666667,0.570843383585,0.570666666667,0.570263252682,565,375,430,505
