accuracy,precision,recall,f1-score,FN,FP,TN,TP
0.702685624,0.704147863,0.702685624,0.701844506,243.2,89.8,98.4,201.6
0.560299625,0.63145015,0.560299625,0.433927276,143.2,4.8,112.6,6.4
0.510091743,0.508997626,0.510091743,0.501019957,116.8,108.2,105.4,105.6
0.894237288,0.895186827,0.894237288,0.894140668,137,12,19.2,126.8
0.535774648,0.536700466,0.535774648,0.534618507,96.8,80.2,84.6,93.4
0.500436681,0.506626081,0.500436681,0.476042156,121.8,127.2,101.6,107.4
0.56672,0.567837509,0.56672,0.564940049,574,366,446.4,488.6
0.51167002,0.51501378,0.51167002,0.49352172,219.6,287.4,198,289
0.508208955,0.513465427,0.508208955,0.482865072,80.4,49.6,82.2,55.8
0.596091205,0.596982666,0.596091205,0.595157132,459.8,317.2,302.8,455.2
0.663529412,0.695157612,0.663529412,0.652230683,141.6,25.4,89,84
0.54490566,0.549272719,0.54490566,0.538113551,157.2,130.8,110.4,131.6
0.65,0.65434643,0.65,0.649737493,175.6,96.4,78.6,149.4
0.528893242,0.532445981,0.528893242,0.512024074,256.8,253.2,227.8,283.2
0.472394881,0.470745871,0.472394881,0.438557815,123.6,173.4,115.2,134.8
0.509686411,0.511017835,0.509686411,0.483972809,338.6,390.4,313.2,392.8
0.534293948,0.53540785,0.534293948,0.533329322,359.8,349.2,297.2,381.8
0.600869565,0.609345297,0.600869565,0.593691979,73.8,41.2,50.6,64.4
0.66212766,0.663558976,0.66212766,0.66128514,73,44,35.4,82.6
0.537219731,0.540624623,0.537219731,0.530955305,109,122,84.4,130.6
0.624104235,0.627516653,0.624104235,0.622364657,103,51,64.4,88.6
0.568070953,0.5692089,0.568070953,0.561035446,154,84,110.8,102.2
0.518130841,0.519194839,0.518130841,0.509026551,165,127,130.8,112.2
0.563030303,0.565226481,0.563030303,0.559328016,86.6,79.4,64.8,99.2
0.592258065,0.594400561,0.592258065,0.590000363,101.4,54.6,71.8,82.2
0.578229228,0.584555161,0.578229228,0.56454921,184.464,138.576,135.824,169.976
