accuracy,precision,recall,f1-score,FN,FP,TN,TP
0.7026856240128,0.7041478629886,0.7026856240128,0.7018445062622,243.2,89.8,98.4,201.6
0.5602996254682,0.6314501503902,0.5602996254682,0.43392727629919997,143.2,4.8,112.6,6.4
0.510091743119,0.5089976259968,0.510091743119,0.501019956758,116.8,108.2,105.4,105.6
0.8942372881356,0.8951868266554,0.8942372881356,0.8941406677057999,137.0,12.0,19.2,126.8
0.5357746478872,0.5367004663738,0.5357746478872,0.5346185072538,96.8,80.2,84.6,93.4
0.5004366812226,0.5066260813028001,0.5004366812226,0.4760421564076,121.8,127.2,101.6,107.4
0.5667200000002001,0.5678375086495999,0.5667200000002001,0.5649400488636,574.0,366.0,446.4,488.6
0.5116700201208,0.5150137799668,0.5116700201208,0.49352171968479996,219.6,287.4,198.0,289.0
0.5082089552238,0.5134654266324,0.5082089552238,0.4828650720816,80.4,49.6,82.2,55.8
0.5960912052116001,0.5969826659106,0.5960912052116001,0.5951571323582,459.8,317.2,302.8,455.2
0.6635294117646,0.6951576121698,0.6635294117646,0.6522306826466,141.6,25.4,89.0,84.0
0.5449056603774001,0.5492727185326001,0.5449056603774001,0.538113550658,157.2,130.8,110.4,131.6
0.65,0.6543464302668001,0.65,0.6497374928581999,175.6,96.4,78.6,149.4
0.5288932419196001,0.5324459814414,0.5288932419196001,0.5120240744856,256.8,253.2,227.8,283.2
0.47239488116999995,0.4707458710896,0.47239488116999995,0.43855781468220006,123.6,173.4,115.2,134.8
0.5096864111498001,0.5110178346706,0.5096864111498001,0.4839728089108,338.6,390.4,313.2,392.8
0.5342939481268001,0.5354078498522,0.5342939481268001,0.5333293224262,359.8,349.2,297.2,381.8
0.6008695652174001,0.6093452971696001,0.6008695652174001,0.5936919791986,73.8,41.2,50.6,64.4
0.6621276595744,0.6635589763892,0.6621276595744,0.6612851401413999,73.0,44.0,35.4,82.6
0.5372197309418001,0.5406246232462,0.5372197309418001,0.5309553046696001,109.0,122.0,84.4,130.6
0.6241042345278001,0.627516653467,0.6241042345278001,0.6223646573176,103.0,51.0,64.4,88.6
0.5680709534368,0.5692089002840001,0.5680709534368,0.5610354456766,154.0,84.0,110.8,102.2
0.5181308411216,0.519194838597,0.5181308411216,0.5090265514412,165.0,127.0,130.8,112.2
0.5630303030304,0.5652264809306,0.5630303030304,0.5593280160128,86.6,79.4,64.8,99.2
0.592258064516,0.5944005614733999,0.592258064516,0.5900003633802001,101.4,54.6,71.8,82.2
